Position;Height above ground [m];Time;X [m];Y [m];Z [m];Opening Angle [°];Stalling Angle Left [°];Stalling Angle Right [°];Roll Angle Left [°];Roll Angle Right [°];Yaw Angle Left [°];Yaw Angle Right [°];Speed hor. [km/h];Speed vert. [km/h];Speed resulting [km/h];WindTime|WindName|WindSpeed|WindSpeedTangent|WindTurbulence|WindSpeedCleanTan|WindSpeedCross
-93.19;NaN;0001-01-01T00:00:00.0000000+01:00;-81.11;0.00;42.86;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.000;0.000;0.000;"0001-01-01T00:00:00.037+01:00|W1|1.8|1.78|0.35|1.78|0.13;0001-01-01T00:00:00.037+01:00|W2|1.1|0.40|0.10|0.40|1.01;0001-01-01T00:00:00.037+01:00|W3|1.9|1.63|0.12|1.63|0.69;0001-01-01T00:00:00.037+01:00|W4|1.3|0.86|0.11|0.86|0.84;0001-01-01T00:00:00.037+01:00|W5|1.7|1.41|0.08|1.41|0.90;0001-01-01T00:00:00.037+01:00|W6|1.6|1.52|0.40|1.52|0.37;0001-01-01T00:00:00.037+01:00|W7|2.4|2.21|0.24|2.21|0.93;0001-01-01T00:00:00.037+01:00|W8|2.0|1.96|0.15|1.96|0.41;0001-01-01T00:00:00.037+01:00|W9|2.1|1.99|0.30|1.99|0.59;0001-01-01T00:00:00.037+01:00|W10|1.5|1.36|0.03|1.36|0.29;0001-01-01T00:00:00.037+01:00|W11|1.7|1.66|0.11|1.66|0.31;0001-01-01T00:00:00.037+01:00|W12|1.2|1.12|0.17|1.12|0.22"
0.00;2.93;0001-01-01T00:00:04.1510000+01:00;0.02;0.00;-0.00;0.0;-11.500;-11.500;0.000;0.000;0.000;0.000;96.894;-19.713;98.879;"0001-01-01T00:00:04.034+01:00|W1|1.8|1.65|0.06|1.65|0.10;0001-01-01T00:00:04.034+01:00|W2|1.2|0.45|0.01|0.45|1.04;0001-01-01T00:00:04.034+01:00|W3|1.5|1.31|0.30|1.31|0.77;0001-01-01T00:00:04.034+01:00|W4|1.1|0.73|0.10|0.73|0.77;0001-01-01T00:00:04.034+01:00|W5|1.1|0.71|0.45|0.71|0.73;0001-01-01T00:00:04.034+01:00|W6|1.8|1.70|0.23|1.70|0.45;0001-01-01T00:00:04.034+01:00|W7|1.9|1.76|0.13|1.76|0.76;0001-01-01T00:00:04.034+01:00|W8|2.4|2.34|0.13|2.34|0.08;0001-01-01T00:00:04.034+01:00|W9|2.1|2.12|0.09|2.12|0.12;0001-01-01T00:00:04.034+01:00|W10|1.3|1.03|0.07|1.03|0.76;0001-01-01T00:00:04.034+01:00|W11|1.8|1.61|0.14|1.61|0.56;0001-01-01T00:00:04.034+01:00|W12|1.2|1.04|0.08|1.04|0.26"
1.00;2.93;0001-01-01T00:00:04.3460000+01:00;1.34;0.00;-0.16;3.3;-7.936;-7.617;0.572;1.230;1.492;-1.810;96.722;-16.732;98.159;"0001-01-01T00:00:04.289+01:00|W1|1.7|1.54|0.13|1.54|0.15;0001-01-01T00:00:04.289+01:00|W2|1.1|0.46|0.03|0.46|1.02;0001-01-01T00:00:04.289+01:00|W3|1.6|1.40|0.22|1.40|0.75;0001-01-01T00:00:04.289+01:00|W4|1.1|0.73|0.09|0.73|0.77;0001-01-01T00:00:04.289+01:00|W5|1.1|0.74|0.44|0.74|0.60;0001-01-01T00:00:04.289+01:00|W6|1.8|1.71|0.23|1.71|0.38;0001-01-01T00:00:04.289+01:00|W7|1.9|1.74|0.10|1.74|0.80;0001-01-01T00:00:04.289+01:00|W8|2.1|2.10|0.36|2.10|0.08;0001-01-01T00:00:04.289+01:00|W9|2.2|2.16|0.11|2.16|0.05;0001-01-01T00:00:04.289+01:00|W10|1.4|1.08|0.13|1.08|0.80;0001-01-01T00:00:04.289+01:00|W11|1.8|1.63|0.18|1.63|0.52;0001-01-01T00:00:04.289+01:00|W12|1.2|1.06|0.07|1.06|0.24"
2.00;2.95;0001-01-01T00:00:04.3850000+01:00;2.39;0.01;-0.28;5.9;-5.129;-4.559;1.023;2.198;2.667;-3.236;96.587;-14.384;97.653;"0001-01-01T00:00:04.289+01:00|W1|1.7|1.54|0.13|1.54|0.15;0001-01-01T00:00:04.289+01:00|W2|1.1|0.46|0.03|0.46|1.02;0001-01-01T00:00:04.289+01:00|W3|1.6|1.40|0.22|1.40|0.75;0001-01-01T00:00:04.289+01:00|W4|1.1|0.73|0.09|0.73|0.77;0001-01-01T00:00:04.289+01:00|W5|1.1|0.74|0.44|0.74|0.60;0001-01-01T00:00:04.289+01:00|W6|1.8|1.71|0.23|1.71|0.38;0001-01-01T00:00:04.289+01:00|W7|1.9|1.74|0.10|1.74|0.80;0001-01-01T00:00:04.289+01:00|W8|2.1|2.10|0.36|2.10|0.08;0001-01-01T00:00:04.289+01:00|W9|2.2|2.16|0.11|2.16|0.05;0001-01-01T00:00:04.289+01:00|W10|1.4|1.08|0.13|1.08|0.80;0001-01-01T00:00:04.289+01:00|W11|1.8|1.63|0.18|1.63|0.52;0001-01-01T00:00:04.289+01:00|W12|1.2|1.06|0.07|1.06|0.24"
3.00;2.99;0001-01-01T00:00:04.4250000+01:00;3.43;0.01;-0.40;8.5;-2.333;-1.511;1.472;3.164;3.838;-4.656;96.453;-12.044;97.202;"0001-01-01T00:00:04.536+01:00|W1|1.6|1.48|0.16|1.48|0.22;0001-01-01T00:00:04.536+01:00|W2|1.1|0.46|0.03|0.46|1.02;0001-01-01T00:00:04.536+01:00|W3|1.6|1.48|0.16|1.48|0.69;0001-01-01T00:00:04.536+01:00|W4|1.1|0.73|0.09|0.73|0.77;0001-01-01T00:00:04.536+01:00|W5|1.2|0.94|0.33|0.94|0.61;0001-01-01T00:00:04.536+01:00|W6|1.8|1.71|0.23|1.71|0.38;0001-01-01T00:00:04.536+01:00|W7|2.0|1.79|0.01|1.79|0.84;0001-01-01T00:00:04.536+01:00|W8|2.1|2.10|0.36|2.10|0.08;0001-01-01T00:00:04.536+01:00|W9|2.1|2.13|0.07|2.13|0.02;0001-01-01T00:00:04.536+01:00|W10|1.5|1.18|0.24|1.18|0.86;0001-01-01T00:00:04.536+01:00|W11|1.8|1.62|0.17|1.62|0.43;0001-01-01T00:00:04.536+01:00|W12|1.2|1.06|0.07|1.06|0.24"
4.00;3.04;0001-01-01T00:00:04.4640000+01:00;4.46;0.01;-0.53;11.7;0.332;2.131;-0.547;5.131;5.576;-6.155;96.413;-11.529;97.100;"0001-01-01T00:00:04.536+01:00|W1|1.6|1.48|0.16|1.48|0.22;0001-01-01T00:00:04.536+01:00|W2|1.1|0.46|0.03|0.46|1.02;0001-01-01T00:00:04.536+01:00|W3|1.6|1.48|0.16|1.48|0.69;0001-01-01T00:00:04.536+01:00|W4|1.1|0.73|0.09|0.73|0.77;0001-01-01T00:00:04.536+01:00|W5|1.2|0.94|0.33|0.94|0.61;0001-01-01T00:00:04.536+01:00|W6|1.8|1.71|0.23|1.71|0.38;0001-01-01T00:00:04.536+01:00|W7|2.0|1.79|0.01|1.79|0.84;0001-01-01T00:00:04.536+01:00|W8|2.1|2.10|0.36|2.10|0.08;0001-01-01T00:00:04.536+01:00|W9|2.1|2.13|0.07|2.13|0.02;0001-01-01T00:00:04.536+01:00|W10|1.5|1.18|0.24|1.18|0.86;0001-01-01T00:00:04.536+01:00|W11|1.8|1.62|0.17|1.62|0.43;0001-01-01T00:00:04.536+01:00|W12|1.2|1.06|0.07|1.06|0.24"
5.00;3.09;0001-01-01T00:00:04.5030000+01:00;5.50;0.01;-0.67;15.8;2.733;6.384;-4.796;7.599;8.099;-7.725;96.479;-13.364;97.400;"0001-01-01T00:00:04.536+01:00|W1|1.6|1.48|0.16|1.48|0.22;0001-01-01T00:00:04.536+01:00|W2|1.1|0.46|0.03|0.46|1.02;0001-01-01T00:00:04.536+01:00|W3|1.6|1.48|0.16|1.48|0.69;0001-01-01T00:00:04.536+01:00|W4|1.1|0.73|0.09|0.73|0.77;0001-01-01T00:00:04.536+01:00|W5|1.2|0.94|0.33|0.94|0.61;0001-01-01T00:00:04.536+01:00|W6|1.8|1.71|0.23|1.71|0.38;0001-01-01T00:00:04.536+01:00|W7|2.0|1.79|0.01|1.79|0.84;0001-01-01T00:00:04.536+01:00|W8|2.1|2.10|0.36|2.10|0.08;0001-01-01T00:00:04.536+01:00|W9|2.1|2.13|0.07|2.13|0.02;0001-01-01T00:00:04.536+01:00|W10|1.5|1.18|0.24|1.18|0.86;0001-01-01T00:00:04.536+01:00|W11|1.8|1.62|0.17|1.62|0.43;0001-01-01T00:00:04.536+01:00|W12|1.2|1.06|0.07|1.06|0.24"
6.00;3.16;0001-01-01T00:00:04.5410000+01:00;6.53;0.01;-0.81;19.4;4.622;8.947;0.298;3.351;10.475;-9.027;96.324;-13.373;97.249;"0001-01-01T00:00:04.536+01:00|W1|1.6|1.48|0.16|1.48|0.22;0001-01-01T00:00:04.536+01:00|W2|1.1|0.46|0.03|0.46|1.02;0001-01-01T00:00:04.536+01:00|W3|1.6|1.48|0.16|1.48|0.69;0001-01-01T00:00:04.536+01:00|W4|1.1|0.73|0.09|0.73|0.77;0001-01-01T00:00:04.536+01:00|W5|1.2|0.94|0.33|0.94|0.61;0001-01-01T00:00:04.536+01:00|W6|1.8|1.71|0.23|1.71|0.38;0001-01-01T00:00:04.536+01:00|W7|2.0|1.79|0.01|1.79|0.84;0001-01-01T00:00:04.536+01:00|W8|2.1|2.10|0.36|2.10|0.08;0001-01-01T00:00:04.536+01:00|W9|2.1|2.13|0.07|2.13|0.02;0001-01-01T00:00:04.536+01:00|W10|1.5|1.18|0.24|1.18|0.86;0001-01-01T00:00:04.536+01:00|W11|1.8|1.62|0.17|1.62|0.43;0001-01-01T00:00:04.536+01:00|W12|1.2|1.06|0.07|1.06|0.24"
7.00;3.23;0001-01-01T00:00:04.5800000+01:00;7.57;0.01;-0.97;23.3;5.594;10.273;2.841;0.687;12.998;-10.530;96.514;-15.800;97.799;"0001-01-01T00:00:04.536+01:00|W1|1.6|1.48|0.16|1.48|0.22;0001-01-01T00:00:04.536+01:00|W2|1.1|0.46|0.03|0.46|1.02;0001-01-01T00:00:04.536+01:00|W3|1.6|1.48|0.16|1.48|0.69;0001-01-01T00:00:04.536+01:00|W4|1.1|0.73|0.09|0.73|0.77;0001-01-01T00:00:04.536+01:00|W5|1.2|0.94|0.33|0.94|0.61;0001-01-01T00:00:04.536+01:00|W6|1.8|1.71|0.23|1.71|0.38;0001-01-01T00:00:04.536+01:00|W7|2.0|1.79|0.01|1.79|0.84;0001-01-01T00:00:04.536+01:00|W8|2.1|2.10|0.36|2.10|0.08;0001-01-01T00:00:04.536+01:00|W9|2.1|2.13|0.07|2.13|0.02;0001-01-01T00:00:04.536+01:00|W10|1.5|1.18|0.24|1.18|0.86;0001-01-01T00:00:04.536+01:00|W11|1.8|1.62|0.17|1.62|0.43;0001-01-01T00:00:04.536+01:00|W12|1.2|1.06|0.07|1.06|0.24"
8.00;3.29;0001-01-01T00:00:04.6180000+01:00;8.60;0.01;-1.14;27.1;5.874;10.381;4.678;-2.111;15.342;-12.064;96.469;-17.131;97.978;"0001-01-01T00:00:04.536+01:00|W1|1.6|1.48|0.16|1.48|0.22;0001-01-01T00:00:04.536+01:00|W2|1.1|0.46|0.03|0.46|1.02;0001-01-01T00:00:04.536+01:00|W3|1.6|1.48|0.16|1.48|0.69;0001-01-01T00:00:04.536+01:00|W4|1.1|0.73|0.09|0.73|0.77;0001-01-01T00:00:04.536+01:00|W5|1.2|0.94|0.33|0.94|0.61;0001-01-01T00:00:04.536+01:00|W6|1.8|1.71|0.23|1.71|0.38;0001-01-01T00:00:04.536+01:00|W7|2.0|1.79|0.01|1.79|0.84;0001-01-01T00:00:04.536+01:00|W8|2.1|2.10|0.36|2.10|0.08;0001-01-01T00:00:04.536+01:00|W9|2.1|2.13|0.07|2.13|0.02;0001-01-01T00:00:04.536+01:00|W10|1.5|1.18|0.24|1.18|0.86;0001-01-01T00:00:04.536+01:00|W11|1.8|1.62|0.17|1.62|0.43;0001-01-01T00:00:04.536+01:00|W12|1.2|1.06|0.07|1.06|0.24"
9.00;3.36;0001-01-01T00:00:04.6570000+01:00;9.62;0.01;-1.33;30.6;5.760;9.598;7.170;-5.572;17.296;-13.535;96.200;-17.459;97.771;"0001-01-01T00:00:04.536+01:00|W1|1.6|1.48|0.16|1.48|0.22;0001-01-01T00:00:04.536+01:00|W2|1.1|0.46|0.03|0.46|1.02;0001-01-01T00:00:04.536+01:00|W3|1.6|1.48|0.16|1.48|0.69;0001-01-01T00:00:04.536+01:00|W4|1.1|0.73|0.09|0.73|0.77;0001-01-01T00:00:04.536+01:00|W5|1.2|0.94|0.33|0.94|0.61;0001-01-01T00:00:04.536+01:00|W6|1.8|1.71|0.23|1.71|0.38;0001-01-01T00:00:04.536+01:00|W7|2.0|1.79|0.01|1.79|0.84;0001-01-01T00:00:04.536+01:00|W8|2.1|2.10|0.36|2.10|0.08;0001-01-01T00:00:04.536+01:00|W9|2.1|2.13|0.07|2.13|0.02;0001-01-01T00:00:04.536+01:00|W10|1.5|1.18|0.24|1.18|0.86;0001-01-01T00:00:04.536+01:00|W11|1.8|1.62|0.17|1.62|0.43;0001-01-01T00:00:04.536+01:00|W12|1.2|1.06|0.07|1.06|0.24"
10.00;3.43;0001-01-01T00:00:04.6950000+01:00;10.65;0.01;-1.52;33.1;5.824;8.700;12.415;-9.877;18.551;-14.822;96.102;-19.249;98.011;"0001-01-01T00:00:04.785+01:00|W1|1.6|1.44|0.18|1.44|0.15;0001-01-01T00:00:04.785+01:00|W2|1.1|0.50|0.02|0.50|1.01;0001-01-01T00:00:04.785+01:00|W3|1.7|1.55|0.10|1.55|0.66;0001-01-01T00:00:04.785+01:00|W4|1.2|0.74|0.04|0.74|0.79;0001-01-01T00:00:04.785+01:00|W5|1.4|1.10|0.16|1.10|0.60;0001-01-01T00:00:04.785+01:00|W6|1.3|1.27|0.22|1.27|0.00;0001-01-01T00:00:04.785+01:00|W7|2.0|1.79|0.02|1.79|0.87;0001-01-01T00:00:04.785+01:00|W8|1.9|1.88|0.58|1.88|0.16;0001-01-01T00:00:04.785+01:00|W9|2.0|2.02|0.03|2.02|0.02;0001-01-01T00:00:04.785+01:00|W10|1.5|1.18|0.24|1.18|0.85;0001-01-01T00:00:04.785+01:00|W11|1.8|1.64|0.15|1.64|0.27;0001-01-01T00:00:04.785+01:00|W12|1.2|0.97|0.10|0.97|0.26"
11.00;3.50;0001-01-01T00:00:04.7330000+01:00;11.66;0.01;-1.73;34.5;5.978;7.445;15.034;-13.613;19.140;-15.612;95.954;-19.920;98.000;"0001-01-01T00:00:04.785+01:00|W1|1.6|1.44|0.18|1.44|0.15;0001-01-01T00:00:04.785+01:00|W2|1.1|0.50|0.02|0.50|1.01;0001-01-01T00:00:04.785+01:00|W3|1.7|1.55|0.10|1.55|0.66;0001-01-01T00:00:04.785+01:00|W4|1.2|0.74|0.04|0.74|0.79;0001-01-01T00:00:04.785+01:00|W5|1.4|1.10|0.16|1.10|0.60;0001-01-01T00:00:04.785+01:00|W6|1.3|1.27|0.22|1.27|0.00;0001-01-01T00:00:04.785+01:00|W7|2.0|1.79|0.02|1.79|0.87;0001-01-01T00:00:04.785+01:00|W8|1.9|1.88|0.58|1.88|0.16;0001-01-01T00:00:04.785+01:00|W9|2.0|2.02|0.03|2.02|0.02;0001-01-01T00:00:04.785+01:00|W10|1.5|1.18|0.24|1.18|0.85;0001-01-01T00:00:04.785+01:00|W11|1.8|1.64|0.15|1.64|0.27;0001-01-01T00:00:04.785+01:00|W12|1.2|0.97|0.10|0.97|0.26"
12.00;3.58;0001-01-01T00:00:04.7710000+01:00;12.68;0.01;-1.94;35.8;6.139;6.157;17.438;-17.307;19.674;-16.362;95.801;-20.500;97.970;"0001-01-01T00:00:04.785+01:00|W1|1.6|1.44|0.18|1.44|0.15;0001-01-01T00:00:04.785+01:00|W2|1.1|0.50|0.02|0.50|1.01;0001-01-01T00:00:04.785+01:00|W3|1.7|1.55|0.10|1.55|0.66;0001-01-01T00:00:04.785+01:00|W4|1.2|0.74|0.04|0.74|0.79;0001-01-01T00:00:04.785+01:00|W5|1.4|1.10|0.16|1.10|0.60;0001-01-01T00:00:04.785+01:00|W6|1.3|1.27|0.22|1.27|0.00;0001-01-01T00:00:04.785+01:00|W7|2.0|1.79|0.02|1.79|0.87;0001-01-01T00:00:04.785+01:00|W8|1.9|1.88|0.58|1.88|0.16;0001-01-01T00:00:04.785+01:00|W9|2.0|2.02|0.03|2.02|0.02;0001-01-01T00:00:04.785+01:00|W10|1.5|1.18|0.24|1.18|0.85;0001-01-01T00:00:04.785+01:00|W11|1.8|1.64|0.15|1.64|0.27;0001-01-01T00:00:04.785+01:00|W12|1.2|0.97|0.10|0.97|0.26"
13.00;3.66;0001-01-01T00:00:04.8100000+01:00;13.70;0.00;-2.15;37.0;6.303;4.897;19.009;-20.423;20.170;-17.049;95.724;-21.149;98.032;"0001-01-01T00:00:04.785+01:00|W1|1.6|1.44|0.18|1.44|0.15;0001-01-01T00:00:04.785+01:00|W2|1.1|0.50|0.02|0.50|1.01;0001-01-01T00:00:04.785+01:00|W3|1.7|1.55|0.10|1.55|0.66;0001-01-01T00:00:04.785+01:00|W4|1.2|0.74|0.04|0.74|0.79;0001-01-01T00:00:04.785+01:00|W5|1.4|1.10|0.16|1.10|0.60;0001-01-01T00:00:04.785+01:00|W6|1.3|1.27|0.22|1.27|0.00;0001-01-01T00:00:04.785+01:00|W7|2.0|1.79|0.02|1.79|0.87;0001-01-01T00:00:04.785+01:00|W8|1.9|1.88|0.58|1.88|0.16;0001-01-01T00:00:04.785+01:00|W9|2.0|2.02|0.03|2.02|0.02;0001-01-01T00:00:04.785+01:00|W10|1.5|1.18|0.24|1.18|0.85;0001-01-01T00:00:04.785+01:00|W11|1.8|1.64|0.15|1.64|0.27;0001-01-01T00:00:04.785+01:00|W12|1.2|0.97|0.10|0.97|0.26"
14.00;3.74;0001-01-01T00:00:04.8480000+01:00;14.71;0.01;-2.38;38.0;6.473;3.702;18.671;-22.211;20.576;-17.586;95.818;-21.955;98.301;"0001-01-01T00:00:04.785+01:00|W1|1.6|1.44|0.18|1.44|0.15;0001-01-01T00:00:04.785+01:00|W2|1.1|0.50|0.02|0.50|1.01;0001-01-01T00:00:04.785+01:00|W3|1.7|1.55|0.10|1.55|0.66;0001-01-01T00:00:04.785+01:00|W4|1.2|0.74|0.04|0.74|0.79;0001-01-01T00:00:04.785+01:00|W5|1.4|1.10|0.16|1.10|0.60;0001-01-01T00:00:04.785+01:00|W6|1.3|1.27|0.22|1.27|0.00;0001-01-01T00:00:04.785+01:00|W7|2.0|1.79|0.02|1.79|0.87;0001-01-01T00:00:04.785+01:00|W8|1.9|1.88|0.58|1.88|0.16;0001-01-01T00:00:04.785+01:00|W9|2.0|2.02|0.03|2.02|0.02;0001-01-01T00:00:04.785+01:00|W10|1.5|1.18|0.24|1.18|0.85;0001-01-01T00:00:04.785+01:00|W11|1.8|1.64|0.15|1.64|0.27;0001-01-01T00:00:04.785+01:00|W12|1.2|0.97|0.10|0.97|0.26"
15.00;3.83;0001-01-01T00:00:04.8860000+01:00;15.72;0.00;-2.61;38.5;6.549;3.029;19.915;-23.327;20.652;-18.038;96.115;-23.325;98.905;"0001-01-01T00:00:04.785+01:00|W1|1.6|1.44|0.18|1.44|0.15;0001-01-01T00:00:04.785+01:00|W2|1.1|0.50|0.02|0.50|1.01;0001-01-01T00:00:04.785+01:00|W3|1.7|1.55|0.10|1.55|0.66;0001-01-01T00:00:04.785+01:00|W4|1.2|0.74|0.04|0.74|0.79;0001-01-01T00:00:04.785+01:00|W5|1.4|1.10|0.16|1.10|0.60;0001-01-01T00:00:04.785+01:00|W6|1.3|1.27|0.22|1.27|0.00;0001-01-01T00:00:04.785+01:00|W7|2.0|1.79|0.02|1.79|0.87;0001-01-01T00:00:04.785+01:00|W8|1.9|1.88|0.58|1.88|0.16;0001-01-01T00:00:04.785+01:00|W9|2.0|2.02|0.03|2.02|0.02;0001-01-01T00:00:04.785+01:00|W10|1.5|1.18|0.24|1.18|0.85;0001-01-01T00:00:04.785+01:00|W11|1.8|1.64|0.15|1.64|0.27;0001-01-01T00:00:04.785+01:00|W12|1.2|0.97|0.10|0.97|0.26"
16.00;3.91;0001-01-01T00:00:04.9230000+01:00;16.73;0.00;-2.86;39.2;6.624;2.404;21.158;-23.230;20.725;-18.612;96.119;-24.307;99.145;"0001-01-01T00:00:05.038+01:00|W1|1.6|1.40|0.22|1.40|0.01;0001-01-01T00:00:05.038+01:00|W2|1.2|0.54|0.00|0.54|1.01;0001-01-01T00:00:05.038+01:00|W3|1.8|1.64|0.02|1.64|0.64;0001-01-01T00:00:05.038+01:00|W4|1.2|0.74|0.04|0.74|0.79;0001-01-01T00:00:05.038+01:00|W5|1.4|1.10|0.16|1.10|0.60;0001-01-01T00:00:05.038+01:00|W6|1.2|1.17|0.27|1.17|0.12;0001-01-01T00:00:05.038+01:00|W7|1.9|1.77|0.01|1.77|0.81;0001-01-01T00:00:05.038+01:00|W8|1.8|1.73|0.71|1.73|0.24;0001-01-01T00:00:05.038+01:00|W9|1.9|1.91|0.12|1.91|0.08;0001-01-01T00:00:05.038+01:00|W10|1.5|1.17|0.18|1.17|0.72;0001-01-01T00:00:05.038+01:00|W11|1.7|1.62|0.09|1.62|0.18;0001-01-01T00:00:05.038+01:00|W12|1.2|0.97|0.10|0.97|0.26"
17.00;3.99;0001-01-01T00:00:04.9610000+01:00;17.73;0.00;-3.12;39.7;6.670;1.936;22.754;-22.279;20.633;-19.165;96.017;-25.027;99.225;"0001-01-01T00:00:05.038+01:00|W1|1.6|1.40|0.22|1.40|0.01;0001-01-01T00:00:05.038+01:00|W2|1.2|0.54|0.00|0.54|1.01;0001-01-01T00:00:05.038+01:00|W3|1.8|1.64|0.02|1.64|0.64;0001-01-01T00:00:05.038+01:00|W4|1.2|0.74|0.04|0.74|0.79;0001-01-01T00:00:05.038+01:00|W5|1.4|1.10|0.16|1.10|0.60;0001-01-01T00:00:05.038+01:00|W6|1.2|1.17|0.27|1.17|0.12;0001-01-01T00:00:05.038+01:00|W7|1.9|1.77|0.01|1.77|0.81;0001-01-01T00:00:05.038+01:00|W8|1.8|1.73|0.71|1.73|0.24;0001-01-01T00:00:05.038+01:00|W9|1.9|1.91|0.12|1.91|0.08;0001-01-01T00:00:05.038+01:00|W10|1.5|1.17|0.18|1.17|0.72;0001-01-01T00:00:05.038+01:00|W11|1.7|1.62|0.09|1.62|0.18;0001-01-01T00:00:05.038+01:00|W12|1.2|0.97|0.10|0.97|0.26"
18.00;4.08;0001-01-01T00:00:04.9980000+01:00;18.73;0.00;-3.39;39.7;6.660;1.723;25.003;-20.817;20.230;-19.565;95.973;-25.603;99.330;"0001-01-01T00:00:05.038+01:00|W1|1.6|1.40|0.22|1.40|0.01;0001-01-01T00:00:05.038+01:00|W2|1.2|0.54|0.00|0.54|1.01;0001-01-01T00:00:05.038+01:00|W3|1.8|1.64|0.02|1.64|0.64;0001-01-01T00:00:05.038+01:00|W4|1.2|0.74|0.04|0.74|0.79;0001-01-01T00:00:05.038+01:00|W5|1.4|1.10|0.16|1.10|0.60;0001-01-01T00:00:05.038+01:00|W6|1.2|1.17|0.27|1.17|0.12;0001-01-01T00:00:05.038+01:00|W7|1.9|1.77|0.01|1.77|0.81;0001-01-01T00:00:05.038+01:00|W8|1.8|1.73|0.71|1.73|0.24;0001-01-01T00:00:05.038+01:00|W9|1.9|1.91|0.12|1.91|0.08;0001-01-01T00:00:05.038+01:00|W10|1.5|1.17|0.18|1.17|0.72;0001-01-01T00:00:05.038+01:00|W11|1.7|1.62|0.09|1.62|0.18;0001-01-01T00:00:05.038+01:00|W12|1.2|0.97|0.10|0.97|0.26"
19.00;4.15;0001-01-01T00:00:05.0360000+01:00;19.73;0.00;-3.66;39.2;6.285;1.510;25.258;-21.342;19.837;-19.434;95.736;-26.388;99.306;"0001-01-01T00:00:05.038+01:00|W1|1.6|1.40|0.22|1.40|0.01;0001-01-01T00:00:05.038+01:00|W2|1.2|0.54|0.00|0.54|1.01;0001-01-01T00:00:05.038+01:00|W3|1.8|1.64|0.02|1.64|0.64;0001-01-01T00:00:05.038+01:00|W4|1.2|0.74|0.04|0.74|0.79;0001-01-01T00:00:05.038+01:00|W5|1.4|1.10|0.16|1.10|0.60;0001-01-01T00:00:05.038+01:00|W6|1.2|1.17|0.27|1.17|0.12;0001-01-01T00:00:05.038+01:00|W7|1.9|1.77|0.01|1.77|0.81;0001-01-01T00:00:05.038+01:00|W8|1.8|1.73|0.71|1.73|0.24;0001-01-01T00:00:05.038+01:00|W9|1.9|1.91|0.12|1.91|0.08;0001-01-01T00:00:05.038+01:00|W10|1.5|1.17|0.18|1.17|0.72;0001-01-01T00:00:05.038+01:00|W11|1.7|1.62|0.09|1.62|0.18;0001-01-01T00:00:05.038+01:00|W12|1.2|0.97|0.10|0.97|0.26"
20.00;4.24;0001-01-01T00:00:04.6200000+01:00;20.72;0.00;-3.94;38.7;5.911;1.297;25.512;-21.866;19.444;-19.302;95.499;-27.171;99.289;"0001-01-01T00:00:04.536+01:00|W1|1.6|1.48|0.16|1.48|0.22;0001-01-01T00:00:04.536+01:00|W2|1.1|0.46|0.03|0.46|1.02;0001-01-01T00:00:04.536+01:00|W3|1.6|1.48|0.16|1.48|0.69;0001-01-01T00:00:04.536+01:00|W4|1.1|0.73|0.09|0.73|0.77;0001-01-01T00:00:04.536+01:00|W5|1.2|0.94|0.33|0.94|0.61;0001-01-01T00:00:04.536+01:00|W6|1.8|1.71|0.23|1.71|0.38;0001-01-01T00:00:04.536+01:00|W7|2.0|1.79|0.01|1.79|0.84;0001-01-01T00:00:04.536+01:00|W8|2.1|2.10|0.36|2.10|0.08;0001-01-01T00:00:04.536+01:00|W9|2.1|2.13|0.07|2.13|0.02;0001-01-01T00:00:04.536+01:00|W10|1.5|1.18|0.24|1.18|0.86;0001-01-01T00:00:04.536+01:00|W11|1.8|1.62|0.17|1.62|0.43;0001-01-01T00:00:04.536+01:00|W12|1.2|1.06|0.07|1.06|0.24"
21.00;4.32;0001-01-01T00:00:04.4390000+01:00;21.71;0.00;-4.23;38.1;5.438;1.046;26.361;-22.318;19.054;-19.054;95.310;-28.029;99.346;"0001-01-01T00:00:04.536+01:00|W1|1.6|1.48|0.16|1.48|0.22;0001-01-01T00:00:04.536+01:00|W2|1.1|0.46|0.03|0.46|1.02;0001-01-01T00:00:04.536+01:00|W3|1.6|1.48|0.16|1.48|0.69;0001-01-01T00:00:04.536+01:00|W4|1.1|0.73|0.09|0.73|0.77;0001-01-01T00:00:04.536+01:00|W5|1.2|0.94|0.33|0.94|0.61;0001-01-01T00:00:04.536+01:00|W6|1.8|1.71|0.23|1.71|0.38;0001-01-01T00:00:04.536+01:00|W7|2.0|1.79|0.01|1.79|0.84;0001-01-01T00:00:04.536+01:00|W8|2.1|2.10|0.36|2.10|0.08;0001-01-01T00:00:04.536+01:00|W9|2.1|2.13|0.07|2.13|0.02;0001-01-01T00:00:04.536+01:00|W10|1.5|1.18|0.24|1.18|0.86;0001-01-01T00:00:04.536+01:00|W11|1.8|1.62|0.17|1.62|0.43;0001-01-01T00:00:04.536+01:00|W12|1.2|1.06|0.07|1.06|0.24"
